"Nome Locale";"Capienza";"Provincia";"Comune";"Genere locale";"CAP";"Numero civico";"Toponimo";" Ingressi";"Giornate solari";"Indirizzo"
"CINERGIA - SALA 5";"259";"ROVIGO";"Rovigo";"CINEMA";"45100";"209";"VIALE";"62385";"348";"PORTA PO"
"CINERGIA - SALA 6";"122";"ROVIGO";"Rovigo";"CINEMA";"45100";"209";"VIALE";"26386";"350";"PORTA PO"
"CINERGIA - SALA 7";"122";"ROVIGO";"Rovigo";"CINEMA";"45100";"209";"VIALE";"27667";"350";"PORTA PO"
"CINERGIA - SALA 8";"145";"ROVIGO";"Rovigo";"CINEMA";"45100";"209";"VIALE";"37283";"350";"PORTA PO"
"EDEN SALA 1";"306";"ROVIGO";"Porto Viro";"CINEMA";"45014";"51";"VIA";"17877";"319";"CESARE BATTISTI"
"EDEN SALA 2";"222";"ROVIGO";"Porto Viro";"CINEMA";"45014";"51";"VIA";"8942";"306";"CESARE BATTISTI"
"EDEN SALA 3";"96";"ROVIGO";"Porto Viro";"CINEMA";"45014";"51";"VIA";"4958";"252";"CESARE BATTISTI"
"MIGNON";"143";"ROVIGO";"Lendinara";"CINEMA";"45026";"4";"PIAZZALE";"936";"8";"DUOMO"
"POLITEAMA";"360";"ROVIGO";"Adria";"CINEMA";"45011";"211";"CORSO";"8043";"179";"VITTORIO EMANUELE"
"POLITEAMA - POLITEAMA SALA A";"700";"ROVIGO";"Badia Polesine";"CINEMA";"45021";"259";"VIA";"12545";"300";"CIGNO"
"POLITEAMA - POLITEAMA SALA B";"126";"ROVIGO";"Badia Polesine";"CINEMA";"45021";"259";"VIA";"10522";"315";"CIGNO"
"TEATRO COTOGNI";"144";"ROVIGO";"Castelmassa";"TEATRO";"45035";"SNC";"PIAZZA";"136";"5";"VITTORIO VENETO"
"TEATRO TENDA";"220";"ROVIGO";"Rosolina";"CINEMA";"45010";"SNC";"VIA";"2556";"55";"PO DI LEVANTE"
