"Nome Locale";"Capienza";"Provincia";"Comune";"Genere locale";"CAP";"Numero civico";"Toponimo";" Ingressi";"Giornate solari";"Indirizzo"
"AUDITORIUM COMUNALE";"236";"VICENZA";"Piovene Rocchette";"AUDITORIUM";"36013";"1";"PIAZZA DEGLI";"3909";"30";"ALPINI"
"AURORA";"630";"VICENZA";"Malo";"MONOSALA CINEMA";"36034";"38";"VIA";"6576";"65";"CHIESA"
"AURORA";"630";"VICENZA";"Malo";"MONOSALA CINEMA";"36034";"38";"VIA";"8480";"67";"CHIESA"
"AURORA";"266";"VICENZA";"Sossano";"CINEMA";"36040";"2";"VIA";"3098";"52";"ROMA"
"BUSNELLI";"394";"VICENZA";"Dueville";"CINEMA";"36031";"30";"VIA";"6759";"111";"DANTE"
"CAMPANA";"141";"VICENZA";"Marano Vicentino";"CINEMA";"36035";"2";"VIA";"8601";"151";"VITTORIO VENETO"
"CARDINALE DALLA COSTA";"350";"VICENZA";"Villaverla";"CINEMA";"36030";"1";"VIA";"2627";"26";"CARDINALE E. DALLA COSTA"
"CASTELLO DI ROMEO";"500";"VICENZA";"Montecchio Maggiore";"CINEMA";"36075";"1";"VIA";"4441";"20";"SALITA CASTELLI"
"CHARLIE CHAPLIN CINEMAS - SALA BLU";"390";"VICENZA";"Arzignano";"CINEMA";"36071";"14";"VIA";"16743";"307";"CAMPO MARZIO"
"CHARLIE CHAPLIN CINEMAS - SALA ROSSA";"110";"VICENZA";"Arzignano";"CINEMA";"36071";"14";"VIA";"13708";"309";"CAMPO MARZIO"
"CHARLIE CHAPLIN CINEMAS - SALA VERDE";"110";"VICENZA";"Arzignano";"CINEMA";"36071";"14";"VIA";"8456";"297";"CAMPO MARZIO"
"CINECIAK";"231";"VICENZA";"Lonigo";"CINEMA";"36045";"116";"VIA";"4745";"226";"CESARE BATTISTI"
"CINEGHEL";"208";"VICENZA";"Gallio";"CINEMA";"36032";"01";"VIA";"3897";"106";"XI FEBBRAIO"
"CONFERENZE";"120";"VICENZA";"Carrè";"SALA";"36010";"19";"VIA";"74";"1";"MONTE ORTIGARA"
"CORTILE SCUOLE ELEMENTARI";"400";"VICENZA";"Trissino";"ALL'APERTO";"36070";"1";"VIA";"585";"4";"DANTE"
"DA PONTE";"592";"VICENZA";"Bassano del Grappa";"SALA";"36061";"34/A";"PIAZZALE";"12549";"131";"LUIGI CADORNA"
"DON BOSCO CINEMA";"374";"VICENZA";"Arsiero";"MONOSALA CINEMA";"36011";"10";"VIA";"826";"19";"RIVA"
"ELISEO";"352";"VICENZA";"Lonigo";"CINEMA";"36045";"12";"VIA";"16019";"291";"TRIESTE"
"EUROPA";"183";"VICENZA";"Vicenza";"CINEMA";"36100";"266";"VIALE DELLA";"3479";"119";"PACE"
"FAMIGLIA";"300";"VICENZA";"Noventa Vicentina";"CINEMA";"36025";"1";"VIA";"2574";"34";"GIACOMO MATTEOTTI"
"GIARDINI PAROLINI";"550";"VICENZA";"Bassano del Grappa";"ALL'APERTO";"36061";"52/M";"PIAZZALE";"14305";"62";"TRENTO"
"GIUSEPPE VERDI";"460";"VICENZA";"Breganze";"CINEMA";"36042";"1";"VIA";"3076";"34";"GENERALE MAGLIETTA"
"GRILLO PARLANTE";"288";"VICENZA";"Asiago";"CINEMA";"36012";"21";"VIA";"7730";"111";"MONSIGNOR D. BORTOLI"
"LUX";"169";"VICENZA";"Recoaro Terme";"CINEMA";"36076";"17";"PIAZZA";"129";"4";"DOLOMITI"
"LUX";"374";"VICENZA";"Camisano Vicentino";"CINEMA";"36043";"20";"VIA";"6188";"48";"MARCONI"
"LUX - TEATRO";"380";"VICENZA";"Asiago";"CINEMA";"36012";"01";"VIA";"38387";"300";"GIACOMO MATTEOTTI"
"MARCONI";"480";"VICENZA";"Isola Vicentina";"CINEMA";"36033";"1";"PIAZZA";"5191";"73";"GUGLIELMO MARCONI"
"MARTINOVICH";"128";"VICENZA";"Bassano del Grappa";"SALA";"36061";"34/A";"PIAZZALE";"13868";"243";"LUIGI CADORNA"
"METROPOLIS SALA 1";"297";"VICENZA";"Bassano del Grappa";"CINEMA";"36061";"84";"VIA";"88085";"364";"CRISTOFORO COLOMBO"
"METROPOLIS SALA 2";"109";"VICENZA";"Bassano del Grappa";"CINEMA";"36061";"84";"VIA";"38153";"365";"CRISTOFORO COLOMBO"
"METROPOLIS SALA 3";"109";"VICENZA";"Bassano del Grappa";"CINEMA";"36061";"84";"VIA";"32010";"365";"CRISTOFORO COLOMBO"
"METROPOLIS SALA 4";"102";"VICENZA";"Bassano del Grappa";"CINEMA";"36061";"84";"VIA";"34717";"365";"CRISTOFORO COLOMBO"
"METROPOLIS SALA 5";"105";"VICENZA";"Bassano del Grappa";"CINEMA";"36061";"84";"VIA";"36301";"365";"CRISTOFORO COLOMBO"
"METROPOLIS SALA 6";"177";"VICENZA";"Bassano del Grappa";"CINEMA";"36061";"84";"VIA";"55665";"364";"CRISTOFORO COLOMBO"
"MONTEGRAPPA TEATRO";"412";"VICENZA";"Rosà";"CINEMA";"36027";"7";"VIA";"15636";"113";"CAPITANO ALESSIO"
